Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
1a4f2fe6-0583-42b8-9e57-572706b1429b,2023-06-28 12:10:48,Running,,4.12,21:52,5:18,11.31,353.0,74,,"","",2023-06-28-121048.gpx
8ac61947-9f02-47f9-baa7-7fbfebc82bf6,2023-06-28 11:56:56,Walking,,1.51,11:06,7:20,8.17,119.0,10,,"","",2023-06-28-115656.gpx
2a09362f-19ce-4a29-84da-336133a9bb41,2023-06-27 11:02:23,Running,,5.02,26:37,5:18,11.31,432.0,95,,"","",2023-06-27-110223.gpx
cdf2cd63-89ec-4fa0-94c6-38ca8befa8df,2023-06-26 11:53:23,Running,,4.59,27:12,5:55,10.13,388.0,74,,"","",2023-06-26-115323.gpx
8da22862-cc84-46c5-a2cf-5e7e9f66890f,2023-06-25 06:30:49,Running,,9.84,44:55,4:34,13.15,831.0,157,,"","",2023-06-25-063049.gpx
bcd326d2-fea1-425f-9a0a-d08a645be4eb,2023-06-24 12:02:25,Running,,5.00,28:19,5:39,10.60,430.0,95,,"","",2023-06-24-120225.gpx
e420f9d2-8bdb-4a8d-b961-70be57da5902,2023-06-23 15:28:10,Running,,5.20,26:50,5:10,11.63,453.0,111,,"","",2023-06-23-152810.gpx
ca10e8d9-6242-448b-a8a8-2acf750a5964,2023-06-22 18:05:50,Running,,3.94,26:45,6:48,8.83,329.0,78,,"","",2023-06-22-180550.gpx
9cdbce0c-e490-40a7-ba5b-39af82af6a71,2023-06-22 16:48:40,Running,,9.63,57:43,6:00,10.01,795.0,107,,"","",2023-06-22-164840.gpx
aeaa0d0a-ac5f-4519-80a4-a28021b462d4,2023-06-22 15:01:19,Walking,,2.05,16:00,7:48,7.69,161.0,18,,"","",2023-06-22-150119.gpx
feb09347-5257-493c-ac9d-e380b1bd4055,2023-06-21 15:36:08,Walking,,1.72,16:48,9:47,6.13,125.0,16,,"","",2023-06-21-153608.gpx
d19403fe-ad5c-48f5-b1bd-9c6fcac39d1a,2023-06-21 12:00:06,Running,,6.12,31:11,5:06,11.78,528.0,119,,"","",2023-06-21-120006.gpx
50a03124-3966-4b07-bc03-e41e05ab43f8,2023-06-20 12:31:52,Running,,5.67,30:12,5:20,11.26,488.0,110,,"","",2023-06-20-123152.gpx
b3f19385-b83a-4438-9fa3-fe19a85268e1,2023-06-20 10:39:01,Walking,,1.73,12:40,7:20,8.18,137.0,16,,"","",2023-06-20-103901.gpx
555b71dc-0f83-453a-a5a5-12a95fe5b2e5,2023-06-19 17:39:25,Running,,5.05,26:42,5:17,11.35,434.0,94,,"","",2023-06-19-173925.gpx
814ebe5c-12af-49be-a418-72bf58446d1b,2023-06-18 07:24:36,Running,,5.61,30:14,5:23,11.13,485.0,111,,"","",2023-06-18-072436.gpx
4f85c697-cd3b-46c4-be89-ff4b38280c6b,2023-06-17 18:09:00,Walking,,1.78,35:14,19:48,3.03,132.0,21,,"","",2023-06-17-180900.gpx
907b478e-c8f5-44ca-b355-9abd6554b53a,2023-06-17 12:11:44,Running,,4.92,23:56,4:52,12.33,427.0,105,,"","",2023-06-17-121144.gpx
b58becd7-20a1-4fa5-a415-3880a3b12896,2023-06-17 12:02:06,Running,,1.05,6:20,6:03,9.93,84.0,7,,"","",2023-06-17-120206.gpx
396edf99-09db-4dc0-9240-d1e638d2d29e,2023-06-16 07:40:45,Running,,7.52,37:43,5:01,11.97,649.0,148,,"","",2023-06-16-074045.gpx
610476cb-54a1-4c47-bfe9-ebb7b982018d,2023-06-15 15:55:34,Running,,5.00,25:42,5:09,11.66,430.0,91,,"","",2023-06-15-155534.gpx
ce615477-32a6-4094-801d-f84aec0756bf,2023-06-15 15:25:36,Walking,,1.78,27:46,15:36,3.85,114.0,18,,"","",2023-06-15-152536.gpx
5e132258-2f18-45f8-b065-ccd492063c34,2023-06-14 16:33:40,Walking,,1.70,13:31,7:58,7.53,130.0,16,,"","",2023-06-14-163340.gpx
3547bedc-bc5f-4938-aca4-8435021831a7,2023-06-14 11:50:34,Running,,5.50,29:20,5:20,11.26,473.0,102,,"","",2023-06-14-115034.gpx
65ba3b08-39a5-431d-afc6-b936a8d24fbc,2023-06-13 16:52:25,Running,,4.33,21:38,5:00,12.02,373.0,80,,"","",2023-06-13-165225.gpx
3d6c1c7b-f857-4c71-8093-6d1c42ebc973,2023-06-13 15:40:29,Walking,,1.67,13:25,8:02,7.46,133.0,16,,"","",2023-06-13-154029.gpx
6344736b-c037-493a-98be-d3d3c3e3d5bf,2023-06-12 15:56:16,Walking,,1.71,14:55,8:43,6.89,129.0,16,,"","",2023-06-12-155616.gpx
9f316508-1e2f-4130-91f7-8c9923d300d6,2023-06-12 10:39:34,Cycling,,18.04,53:19,2:57,20.30,430.0,255,,"","",2023-06-12-103934.gpx
095812c7-6cba-44c6-9f8b-a5f9f4ebe3e2,2023-06-11 07:30:42,Running,,18.26,2:15:51,7:26,8.06,1558.0,609,,"","",2023-06-11-073042.gpx
3dd816fd-a411-4e0e-9049-9b21d3838a41,2023-06-10 09:18:26,Running,,5.00,21:49,4:22,13.75,428.0,92,,"","",2023-06-10-091826.gpx
beaa2761-90a2-4983-b8cd-bb07302521ec,2023-06-10 09:04:33,Running,,1.33,8:42,6:31,9.20,129.0,63,,"","",2023-06-10-090433.gpx
77a97e5f-dc0e-43ec-b9c7-be23c6338122,2023-06-09 17:18:16,Running,,5.30,30:47,5:48,10.33,517.0,271,,"","",2023-06-09-171816.gpx
49c28a8f-0626-4501-b95a-e601e7928a10,2023-06-08 16:38:46,Running,,5.63,29:38,5:16,11.40,536.0,242,,"","",2023-06-08-163846.gpx
4ac29568-2c1b-42db-857d-58f52d8b5da1,2023-06-07 17:08:34,Running,,5.62,30:55,5:30,10.90,485.0,107,,"","",2023-06-07-170834.gpx
21abd3e8-1dfb-4a9e-ad59-256d4de5715c,2023-06-07 12:09:39,Walking,,2.14,17:30,8:11,7.33,167.0,19,,"","",2023-06-07-120939.gpx
d9384713-acfd-423c-a1d3-8e8fba6fc20b,2023-06-03 09:18:06,Running,,5.18,25:17,4:53,12.29,453.0,109,,"","",2023-06-03-091806.gpx
1dd028a8-cf32-4802-ac5e-0ac3e009b2b1,2023-06-03 09:00:08,Running,,1.31,8:25,6:25,9.35,127.0,64,,"","",2023-06-03-090008.gpx
7f3f43de-14c6-4698-9fca-834df9c6d6d4,2023-06-02 17:09:35,Walking,,2.04,15:49,7:44,7.76,162.0,18,,"","",2023-06-02-170935.gpx
f23b7ab8-5844-468a-91ec-6e3e6ac7c6c8,2023-06-02 12:15:38,Running,,5.02,27:44,5:31,10.87,434.0,97,,"","",2023-06-02-121538.gpx
84fb7b84-dd1c-48d3-8ec5-4e9a37126d4b,2023-06-01 11:37:36,Walking,,2.07,18:30,8:57,6.70,157.0,18,,"","",2023-06-01-113736.gpx
7f0fe0db-2ee4-4ec7-9f61-567682c4651c,2023-06-01 10:06:33,Running,,5.05,26:41,5:17,11.34,435.0,96,,"","",2023-06-01-100633.gpx
aba79e11-e303-4ba6-98b7-2e57ce5690a8,2023-05-31 14:54:22,Running,,5.12,26:57,5:16,11.39,441.0,96,,"","",2023-05-31-145422.gpx
978880b5-03f8-4bb3-846f-6f7dbed1dff1,2023-05-31 12:12:53,Walking,,1.70,15:11,8:57,6.70,134.0,16,,"","",2023-05-31-121253.gpx
